,Open,High,Low,Close
2024-12-13,115.372826,118.800385,116.06248,113.4722
2024-12-14,115.41373,118.6401,109.60897,114.46118
2024-12-15,115.51007,118.16032,110.9487,114.14017
2024-12-16,113.64669,119.94355,110.41473,108.590385
2024-12-17,115.245056,113.08032,106.65329,110.21428
